Year,Region Name,Country Code,Country Name,Total Number of Deaths,Number of Deaths Per 100000 of Population,World Bank Classification Region,World Bank Income Classification,Income Classification Code
2014,Africa,EGY,Egypt,421,18.5,Middle East & North Africa,Lower middle income,LMIC
2014,Africa,MUS,Mauritius,0,0,Sub-Saharan Africa,Upper middle income,UMIC
2014,Asia,ARM,Armenia,0,0,Europe & Central Asia,Upper middle income,UMIC
2014,Asia,BHR,Bahrain,0,0,Middle East & North Africa,High income,HIC
2014,Africa,MYT,Mayotte,0,0,,Not Classified,
2014,Africa,REU,Reunion,0,0,,Not Classified,
2014,Africa,SYC,Seychelles,0,0,Sub-Saharan Africa,High income,HIC
2014,Asia,BRN,Brunei Darussalam,0,0,East Asia & Pacific,High income,HIC
2014,Africa,ZAF,South Africa,1693,95.4,Sub-Saharan Africa,Upper middle income,UMIC
2014,Asia,CYP,Cyprus,0,0,Europe & Central Asia,High income,HIC
2014,Asia,HKG,"China, Hong Kong SAR",0,0,East Asia & Pacific,High income,HIC
2014,Asia,GEO,Georgia,5,8.4,Europe & Central Asia,Upper middle income,UMIC
2014,Asia,IRN,Iran (Islamic Republic of),42,2.3,Middle East & North Africa,Upper middle income,UMIC
2014,Asia,ISR,Israel,0,0,Middle East & North Africa,High income,HIC
2014,Asia,JPN,Japan,1,0,East Asia & Pacific,High income,HIC
2014,Asia,KAZ,Kazakhstan,9,1.7,Europe & Central Asia,Upper middle income,UMIC
2014,Asia,KOR,Republic of Korea,0,0,East Asia & Pacific,High income,HIC
2014,Asia,KWT,Kuwait,0,0,Middle East & North Africa,High income,HIC
2014,Asia,KGZ,Kyrgyzstan,0,0,Europe & Central Asia,Lower middle income,LMIC
2014,Asia,MYS,Malaysia,4,0.6,East Asia & Pacific,Upper middle income,UMIC
2014,Asia,MDV,Maldives,1,13.8,South Asia,Upper middle income,UMIC
2014,Asia,OMN,Oman,1,0.3,Middle East & North Africa,High income,HIC
2014,Asia,PHL,Philippines,527,14.4,East Asia & Pacific,Lower middle income,LMIC
2014,Asia,QAT,Qatar,2,5.1,Middle East & North Africa,High income,HIC
2014,Asia,SGP,Singapore,0,0,East Asia & Pacific,High income,HIC
